Engineering Foundation
Vv156/186,"Honors Calculus II /
Honors Mathematics II",⎯,⎯,4,,
Vv255/285,"Applied Calculus III /
Honors Mathematics III",Vv156/186,⎯,4,,
Vv256/286,Applied Calculus IV / Honors Mathematics IV,Vv255/285,⎯,4,,
Vv214,Linear Algebra,⎯,⎯,4,,
Vg100,Intro to Engr.,⎯,⎯,4,,
Vg101,Intro to Comp.,⎯,⎯,4,,
Vc210,Chemistry,⎯,Vc210,4,,
Vc211,Chemistry Lab,⎯,⎯,1,,
Vp140/160,Physics I,⎯,⎯,4,,
Vp240/260,Physics II,Vp140/160,⎯,4,,
Vp141,Physics Lab I,⎯,⎯,1,,
Vp241,Physics Lab II,⎯,⎯,1,,
Intellectual Breadth
Vg496,Ethics & Professionalism,Vg100,⎯,2,,
Program Subject
Vm0202,Machineshop Training,⎯,⎯,1,,
Ve215,Intro to Circuits,"Vv156/186, Vg101",Vp240/260,4,,
Vm211,Intro to Solid Mechanic,"Vp140/160, Vv156/186",⎯,4,,
Vm235,Themodynamics,"Vc210, Vv156/186",⎯,3,,
Vm240,Intro to Dynamics & Viber.,"Vp140/160, Vv256/286",or Vv256/286,4,,
Vm250,Design and Manufacture I,"Vv156/186, Vg101,Vm020",⎯,4,,
Vm320,Fluids I,"Vm235, Vm240, Vv256/286",⎯,3,,
Vm335,Heat Transfer,Vm320,⎯,3,,
Vm350,Design and Manufacture II,"Vm211, Vm240,
Vm250, Vm382",or Vm382,4,,
Vm360,"Modeling, Analysis & Ctrl of Dynamic Systems",Vm240,⎯,4,,
Vm382,Engineering Materials,Vm211,⎯,4,,
Vm395,Laboratory I,"Vp240/260,Vp241,Vm211,
Vm235,Vm240","p/c Vm320,
Vm382",4,,
Vm450,Design and Manufacture III,"Vm350, Vm360, Vm395",⎯,4,,
Vm495,Laboratory II,Vm395,"Vm350,Vm360",4,,
Advanced Mathematics
Flexible Technical Elective
General Elective
Required by MoE and SJTU
Vy100,Academic Writing I,⎯,⎯,4,,
Vy200,Academic Writing II,Vy100,⎯,4,,
TH009,Circumstance and Policy 16,⎯,⎯,0,,
TH009,Circumstance and Policy 26,⎯,⎯,0,,
TH009,Circumstance and Policy 36,⎯,⎯,0,,
TH009,Circumstance and Policy 46,⎯,⎯,0,,
TH021,Modern Chinese History6,⎯,⎯,2,,
TH000,Morals and Ethics and Law6,⎯,⎯,2,,
TH004,Military Theory6,⎯,⎯,1,,
TH007,Marxism Basic Theory6,⎯,⎯,2,,
TH012,Mao Zedong's Thoughts6,⎯,⎯,3,,
PE001,Physical Education I6,⎯,⎯,1,,
PE002,Physical Education II6,⎯,⎯,1,,
PE003,Physical Education III6,⎯,⎯,1,,
PE004,Physical Education IV6,⎯,⎯,1,,
XP000,General Education Practice6,⎯,⎯,0,,
